packageName,packageVersion,cvssScore
log4j-core,2.12.0,10.0
xxl-job-core,1.4.1,10
xxl-job-core,1.4.2,10
xxl-job-core,1.5.0,10
xxl-job-core,1.5.1,10
xxl-job-core,1.5.2,10
xxl-job-core,1.6.0,10
xxl-job-core,1.6.1,10
xxl-job-core,1.6.2,10
xxl-job-core,1.7.0,10
xxl-job-core,1.7.1,10
xxl-job-core,1.7.2,10
xxl-job-core,1.8.0,10
xxl-job-core,1.8.1,10
xxl-job-core,1.8.2,10
xxl-job-core,1.9.0,10
xxl-job-core,1.9.1,10
xxl-job-core,1.9.2,10
xxl-job-core,2.0.0,10
xxl-job-core,2.0.1,10
xxl-job-core,2.0.2,10
xxl-job-core,2.1.0,10
xxl-job-core,2.1.1,10
xxl-job-core,2.1.2,10
xxl-job-core,2.2.0,10
xxl-job-core,2.3.0,10
xxl-job-core,2.3.1,10
log4j-core,2.12.0,10
